2026-04-11 11:23:39,168 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:23:43,186 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:23:49,486 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:23:57,619 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:24:05,035 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:24:13,415 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:24:18,435 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:24:23,523 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:24:31,558 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:24:38,401 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:24:47,035 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:24:57,112 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:25:04,294 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:25:10,565 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:25:18,507 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:25:26,813 - Database - INFO - 成功同步 6585 条记录。插入:6585, 更新:0
2026-04-11 11:25:31,103 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:25:39,910 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:25:44,218 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:25:52,954 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:25:56,000 - Database - INFO - 成功同步 6603 条记录。插入:6603, 更新:0
2026-04-11 11:29:14,928 - Database - INFO - ✅ 索引确保存在于 stock_daily
2026-04-11 11:29:14,928 - Core - INFO - 🚀 启动全量流式下载流水线...
2026-04-11 11:29:14,928 - DataFetcher - INFO - 🚀 正在登录 Baostock...
2026-04-11 11:29:15,031 - DataFetcher - INFO - ✅ Baostock 登录成功
2026-04-11 11:29:15,245 - Core - ERROR - ❌ 未获取到股票列表
2026-04-11 11:34:43,328 - Database - INFO - ✅ 索引确保存在于 stock_daily
